"treatment","full.treatment.name","strip","plot","abC.ha1","abC.ha2","abC.ha3","bgC.ha1","bgC.ha2","bgC.ha3","bmC.ha1","bmC.ha2","bmC.ha3"
"A","Balled-and-burlapped",1,1,89.7439972749928,86.044188320546,105.344306189433,16.7519667099108,17.4210740775955,21.3128556233874,106.495963984904,103.465262398141,126.65716181282
"A","Balled-and-burlapped",2,2,41.8961683201387,40.1059216345794,50.9974361802374,7.85394257809973,8.20534125649579,10.4455805755676,49.7501108982384,48.3112628910752,61.443016755805
"A","Balled-and-burlapped",2,3,184.752714647353,176.777260722041,221.789681645264,34.422521532528,35.618236176245,44.6676241969075,219.175236179881,212.395496898286,266.457305842172
"B","Bareroot",1,1,6.58179666160553,6.34338043585434,8.65053554456604,1.26640108106458,1.34397040065947,1.83326502278154,7.84819774267011,7.68735083651381,10.4838005673476
"B","Bareroot",2,2,70.4758919373347,66.0322969363441,70.7721068188676,13.3936976946256,13.8083398566777,14.8008104752654,83.8695896319603,79.8406367930218,85.572917294133
"B","Bareroot",3,3,85.3445249479101,80.1153244419569,86.6595253549175,16.193259787156,16.7245767480372,18.0903751862446,101.537784735066,96.8399011899941,104.749900541162
"C","Seedling",1,1,59.1369823323547,63.5533760382655,67.0569844737938,11.1062123227017,12.959917286244,13.6874577237934,70.2431946550564,76.5132933245095,80.7444421975872
"C","Seedling",2,2,187.791980863589,176.687641387767,194.032125712287,35.4034471369928,36.5683869618405,40.1377695018707,223.195428000581,213.256028349608,234.169895214158
"C","Seedling",3,3,194.556382268913,188.244055467718,214.031844856258,36.5323002580519,38.6225838796984,43.8592144575551,231.088682526965,226.866639347417,257.891059313813
"D","Acorn",1,1,11.4193304496413,10.9936152762101,14.0662707377008,2.18345201408761,2.31458715661603,2.9613286528823,13.6027824637289,13.3082024328262,17.0275993905831
"D","Acorn",2,2,63.599579553737,61.8246839265889,76.4117284652483,11.9760106639872,12.7337020117766,15.7493678125602,75.5755902177242,74.5583859383655,92.1610962778085
"D","Acorn",2,3,25.0910000790679,24.6903951835995,28.1653864563797,4.77805766050928,5.16931123075339,5.89309958495557,29.8690577395772,29.8597064143529,34.0584860413353
"E","Seedbank",1,1,15.5536536746513,15.7472825242724,17.3385385591139,2.93510517570849,3.26873326642401,3.59861068154889,18.4887588503598,19.0160157906964,20.9371492406628
"E","Seedbank",2,2,12.5552166017079,12.1125679815016,16.4926964853899,2.36465671034031,2.50336862271302,3.40903402231028,14.9198733120482,14.6159366042146,19.9017305077002
"E","Seedbank",3,3,23.5482425235282,22.2303721214578,24.1198483401896,4.44730869942509,4.61470581229246,5.0054061888229,27.9955512229533,26.8450779337502,29.1252545290125
"R","Reference",1,1,146.631161720781,139.776385599014,159.643304491002,27.5220170314255,28.7127979873374,32.7791610089218,174.153178752207,168.489183586351,192.422465499924
"R","Reference",1,2,44.8682900266086,43.2862954992182,48.816848183258,8.44728711142231,8.93962375195287,10.0781039033932,53.3155771380309,52.225919251171,58.8949520866512
"R","Reference",1,3,38.1560482954924,35.9187490168626,39.6944942322514,7.1814520112375,7.42108622632073,8.19871656948606,45.3375003067299,43.3398352431833,47.8932108017375
